127.0.0.1, 2017-07-14 10:38:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.308051
127.0.0.1, 2017-07-14 10:38:32, GET, /admin/default/site, HTTP/1.1, 200, 0.299944
127.0.0.1, 2017-07-14 10:38:33, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.493654
127.0.0.1, 2017-07-14 10:39:16, GET, /pluralsight/basics/helloworld, HTTP/1.1, 404, 0.285980
127.0.0.1, 2017-07-14 10:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000544
127.0.0.1, 2017-07-14 10:39:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112239
127.0.0.1, 2017-07-14 10:39:21, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.139214
127.0.0.1, 2017-07-14 10:39:43, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.079975
127.0.0.1, 2017-07-14 10:39:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2017-07-14 10:40:04, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.048975
127.0.0.1, 2017-07-14 10:40:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001789
127.0.0.1, 2017-07-14 10:40:04, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.079388
127.0.0.1, 2017-07-14 10:40:04, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.147978
127.0.0.1, 2017-07-14 10:40:04, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.165480
127.0.0.1, 2017-07-14 10:40:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.181620
127.0.0.1, 2017-07-14 10:40:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.093722
127.0.0.1, 2017-07-14 10:40:04, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.311964
127.0.0.1, 2017-07-14 10:40:30, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.358675
